label,pin,dir,type,note
P4_20,41,in,GPIO,MAG_READY
P4_19,40,in,GPIO,/MAG_FAULT
P4_17,39,out,GPIO,/MAG_EN
P4_16,38,in,GPIO,MT_EN
P4_13,36,in/out (open drain),GPIO,MT_EN/FAULT
P4_12,35,in,GPIO,MT_STBY/RST
P4_7,29,out,ANA?,MT_Z_PHASE
P4_6,28,out,ANA?,MT_Y_PHASE
P4_5,27,out,ANA?,MT_X_PHASE
ADC1_A0 (P4_4),26,in,ADC,MT_X_ISENSE
DAC0 (P4_1),24,out,DAC,MT_ILIM
ADC0_B0,23,in,ADC,MT_Y_ISENSE
ADC0_A0 (P4_0),22,in,ADC,MT_Z_ISENSE
PI_8,1,in,UART,CARD_UART_RX
PI_9,2,out,UART,CARD_UART_TX
PI_10,3,out,CAN,CAN0_TXD
PI_11,4,in,CAN,CAN0_RXD
PI_13,6,out,GPIO,AMBER_LED
P2_7,21,out,PWM,MT_X_PWM
P2_6,20,out,PWM,MT_Y_PWM
P2_5,19,out,PWM,MT_Z_PWM
P2_1,15,in,GPIO,IMU_INT2
P2_0,14,in,GPIO,IMU_INT1
SWDIO,76,in/out,SWD,SWDIO
SWCLK,77,in,SWD,SWCLK
SWO,78,out,SWD,SWO
ISPMODE_N,82,in,GPIO,BOOT_CONFIG
P0_16,84,in/out,I2C,MAG_SDA_UC
P0_17,85,in/out,I2C,MAG_SCL_UC
